"Date","Price","Open","High","Low","Vol.","Change %"
"May 17","736.35","732.18","761.75","715.29","-","0.57%"
"Apr 17","732.18","696.92","739.03","690.28","-","5.06%"
"Mar 17","696.92","654.35","699.63","646.76","-","6.51%"
"Feb 17","654.35","660.36","675.21","644.85","-","-0.91%"
"Jan 17","660.36","625.09","668.81","618.76","-","5.64%"
"Dec 16","625.09","608.82","639.72","588.32","-","2.67%"
"Nov 16","608.82","583.58","609.92","548.84","-","4.33%"
"Oct 16","583.58","584.81","591.78","568.32","-","-0.21%"
"Sep 16","584.81","606.88","612.40","571.49","-","-3.64%"
"Aug 16","606.88","588.42","622.33","575.60","-","3.14%"
"Jul 16","588.42","572.42","593.69","542.35","-","2.80%"
"Jun 16","572.42","605.42","619.98","543.14","-","-5.45%"
"May 16","605.42","570.43","611.30","556.58","-","6.13%"
"Apr 16","570.43","573.53","594.24","547.83","-","-0.54%"
"Mar 16","573.53","572.43","587.78","551.61","-","0.19%"
"Feb 16","572.43","581.28","596.65","513.63","-","-1.52%"
"Jan 16","581.28","643.16","643.16","546.63","-","-9.62%"
"Dec 15","643.16","640.96","646.61","589.26","-","0.34%"
"Nov 15","640.96","652.15","658.57","619.64","-","-1.72%"
"Oct 15","652.15","592.34","660.89","592.34","-","10.10%"
"Sep 15","592.34","613.91","627.32","570.08","-","-3.51%"
"Aug 15","613.91","651.16","665.14","555.99","-","-5.72%"
"Jul 15","651.16","598.36","680.63","598.36","-","8.82%"
"Jun 15","598.36","605.39","623.13","577.24","-","-1.16%"
"May 15","605.39","607.02","616.03","585.48","-","-0.27%"
"Apr 15","607.02","615.33","645.44","596.48","-","-1.35%"
"Mar 15","615.33","596.36","624.05","573.68","-","3.18%"
"Feb 15","596.36","555.12","599.36","550.50","-","7.43%"
"Jan 15","555.12","503.02","560.33","494.69","-","10.36%"
"Dec 14","503.02","509.16","513.69","472.25","-","-1.21%"
"Nov 14","509.16","483.67","510.62","474.13","-","5.27%"
"Oct 14","483.67","470.71","483.67","428.48","-","2.75%"
"Sep 14","470.71","477.70","488.35","467.29","-","-1.46%"
"Aug 14","477.70","473.34","486.50","444.73","-","0.92%"
"Jul 14","473.34","491.16","499.55","467.26","-","-3.63%"
"Jun 14","491.16","492.71","496.71","476.34","-","-0.31%"
"May 14","492.71","474.13","493.26","472.18","-","3.92%"
"Apr 14","474.13","495.99","499.87","466.98","-","-4.41%"
"Mar 14","495.99","493.67","500.82","470.14","-","0.47%"
"Feb 14","493.67","473.28","494.72","463.40","-","4.31%"
"Jan 14","473.28","486.86","504.43","468.26","-","-2.79%"
"Dec 13","486.86","467.88","487.88","445.41","-","4.06%"
"Nov 13","467.88","463.22","469.19","448.60","-","1.01%"
"Oct 13","463.22","454.67","483.22","453.92","-","1.88%"
"Sep 13","454.67","435.66","464.49","435.66","-","4.36%"
"Aug 13","435.66","438.40","462.75","432.35","-","-0.62%"
"Jul 13","438.40","416.05","448.73","410.88","-","5.37%"
"Jun 13","416.05","419.19","424.32","393.88","-","-0.75%"
"May 13","419.19","400.67","426.87","396.14","-","4.62%"
"Apr 13","400.67","401.77","413.33","383.23","-","-0.27%"
"Mar 13","401.77","406.68","431.19","401.64","-","-1.21%"
"Feb 13","406.68","412.81","433.79","394.90","-","-1.48%"
"Jan 13","412.81","397.14","420.06","397.14","-","3.95%"
"Dec 12","397.14","380.24","400.93","380.24","-","4.44%"
"Nov 12","380.24","364.95","384.74","359.75","-","4.19%"
"Oct 12","364.95","374.06","380.09","359.69","-","-2.44%"
"Sep 12","374.06","355.53","391.92","349.91","-","5.21%"
"Aug 12","355.53","349.12","368.57","344.76","-","1.84%"
"Jul 12","349.12","361.24","369.69","341.61","-","-3.36%"
"Jun 12","361.24","332.08","361.32","318.68","-","8.78%"
"May 12","332.08","380.30","387.48","329.41","-","-12.68%"
"Apr 12","380.30","409.90","419.06","367.02","-","-7.22%"
"Mar 12","409.90","402.21","420.53","376.85","-","1.91%"
"Feb 12","402.21","373.74","413.76","373.74","-","7.62%"
"Jan 12","373.74","340.17","385.53","331.33","-","9.87%"
"Dec 11","340.17","370.03","374.65","327.71","-","-8.07%"
"Nov 11","370.03","347.22","372.69","327.17","-","6.57%"
"Oct 11","347.22","328.29","368.17","311.50","-","5.77%"
"Sep 11","328.29","349.95","364.44","317.37","-","-6.19%"
"Aug 11","349.95","418.06","423.14","325.68","-","-16.29%"
"Jul 11","418.06","429.84","447.60","412.83","-","-2.74%"
"Jun 11","429.84","447.93","449.07","412.96","-","-4.04%"
"May 11","447.93","458.79","465.72","443.52","-","-2.37%"
"Apr 11","458.79","446.11","461.26","437.70","-","2.84%"
"Mar 11","446.11","461.89","467.57","424.13","-","-3.42%"
"Feb 11","461.89","454.81","487.21","449.52","-","1.56%"
"Jan 11","454.81","410.38","477.36","409.97","-","10.83%"
"Dec 10","410.38","380.00","422.63","380.00","-","7.99%"
"Nov 10","380.00","408.03","413.02","379.51","-","-6.87%"
"Oct 10","408.03","392.57","417.54","382.30","-","3.94%"
"Sep 10","392.57","380.90","406.66","378.46","-","3.06%"
"Aug 10","380.90","406.32","421.25","375.01","-","-6.26%"
"Jul 10","406.32","379.07","414.11","370.34","-","7.19%"
"Jun 10","379.07","383.30","406.73","370.15","-","-1.10%"
"May 10","383.30","433.29","433.29","375.35","-","-11.54%"
"Apr 10","433.29","419.93","439.80","413.07","-","3.18%"
"Mar 10","419.93","395.63","428.80","394.63","-","6.14%"
"Feb 10","395.63","382.97","399.07","365.55","-","3.31%"
"Jan 10","382.97","424.50","433.47","382.54","-","-9.78%"
"Dec 09","424.50","406.73","426.05","393.93","-","4.37%"
"Nov 09","406.73","405.38","430.65","396.31","-","0.33%"
"Oct 09","405.38","405.48","433.41","395.32","-","-0.02%"
"Sep 09","405.48","392.63","424.63","381.28","-","3.27%"
"Aug 09","392.63","375.70","399.37","369.50","-","4.51%"
"Jul 09","375.70","352.64","380.83","333.43","-","6.54%"
"Jun 09","352.64","378.10","388.69","342.81","-","-6.73%"
"May 09","378.10","360.08","386.99","354.20","-","5.00%"
"Apr 09","360.08","317.27","368.19","312.10","-","13.49%"
"Mar 09","317.27","285.08","317.69","247.92","-","11.29%"
"Feb 09","285.08","312.61","327.19","279.60","-","-8.81%"
"Jan 09","312.61","344.08","377.32","285.94","-","-8.20%"
"Dec 08","340.55","353.80","359.51","321.78","-","-3.75%"
"Nov 08","353.80","380.52","410.34","311.09","-","-7.02%"
"Oct 08","380.52","433.10","452.47","318.44","-","-12.14%"
"Sep 08","433.10","470.69","486.76","409.83","-","-7.99%"
"Aug 08","470.69","493.79","500.82","447.71","-","-4.68%"
"Jul 08","493.79","498.68","510.45","427.87","-","-0.98%"
"Jun 08","498.68","597.65","599.99","491.70","-","-16.56%"
"May 08","597.65","597.52","640.21","585.44","-","0.02%"
"Apr 08","597.52","610.25","635.83","562.12","-","-2.09%"
"Mar 08","610.25","627.75","644.14","565.67","-","-2.79%"
"Feb 08","627.75","656.40","690.72","619.05","-","-4.36%"
"Jan 08","656.40","756.86","756.86","571.47","-","-13.27%"
"Dec 07","756.86","752.00","776.15","715.21","-","0.65%"
"Nov 07","752.00","735.36","757.21","679.81","-","2.26%"
"Oct 07","735.36","700.34","755.32","698.29","-","5.00%"
"Sep 07","700.34","670.18","710.68","629.11","-","4.50%"
"Aug 07","670.18","699.76","699.76","613.25","-","-4.23%"
"Jul 07","699.76","726.84","748.26","670.63","-","-3.73%"
"Jun 07","726.84","773.85","783.59","710.09","-","-6.07%"
"May 07","773.85","752.16","775.82","732.96","-","2.88%"
"Apr 07","752.16","751.48","784.71","746.78","-","0.09%"
"Mar 07","751.48","708.74","755.84","686.65","-","6.03%"
"Feb 07","708.74","736.47","776.57","688.12","-","-3.77%"
"Jan 07","736.47","695.18","749.81","691.05","-","5.94%"
"Dec 06","695.18","647.72","695.64","638.52","-","7.33%"
"Nov 06","647.72","637.41","687.71","634.85","-","1.62%"
"Oct 06","637.41","616.52","647.93","613.12","-","3.39%"
"Sep 06","616.52","579.06","629.78","572.76","-","6.47%"
"Aug 06","579.06","553.05","580.22","543.34","-","4.70%"
"Jul 06","553.05","547.36","558.32","521.76","-","1.04%"
"Jun 06","547.36","534.78","555.38","493.88","-","2.35%"
"May 06","534.78","581.67","605.19","515.23","-","-8.06%"
"Apr 06","581.67","587.63","598.41","573.61","-","-1.01%"
"Mar 06","587.63","558.62","592.01","546.32","-","5.19%"
"Feb 06","558.62","534.96","563.65","526.88","-","4.42%"
"Jan 06","534.96","472.06","537.02","472.06","-","13.32%"
"Dec 05","472.06","454.85","475.87","451.51","-","3.78%"
"Nov 05","454.85","445.08","464.72","444.47","-","2.20%"
