"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11","158.50","158.13","163.09","156.84","-","0.97%"
"Dec 10","156.98","147.49","160.02","147.06","-","7.04%"
"Nov 10","146.66","145.06","150.05","144.47","-","1.68%"
"Oct 10","144.23","141.79","148.56","138.78","-","1.84%"
"Sep 10","141.63","132.13","143.86","130.92","-","7.38%"
"Aug 10","131.89","137.67","142.34","128.22","-","-4.13%"
"Jul 10","137.57","132.48","141.41","128.23","-","3.92%"
"Jun 10","132.38","131.93","143.48","129.09","-","0.07%"
"May 10","132.29","139.52","140.25","122.23","-","-5.17%"
"Apr 10","139.50","137.43","144.88","135.89","-","1.98%"
"Mar 10","136.79","126.03","138.53","125.37","-","9.37%"
"Feb 10","125.07","124.31","127.97","119.59","-","0.15%"
"Jan 10","124.88","126.29","132.42","123.09","-","-1.12%"
"Dec 09","126.29","118.98","126.64","118.98","-","6.70%"
"Nov 09","118.36","115.85","124.98","113.63","-","1.96%"
"Oct 09","116.08","120.61","125.96","114.64","-","-3.53%"
"Sep 09","120.33","115.87","124.41","110.65","-","4.24%"
"Aug 09","115.43","109.73","118.56","109.05","-","5.41%"
"Jul 09","109.51","99.13","109.89","93.21","-","10.66%"
"Jun 09","98.96","101.50","105.75","94.28","-","-1.77%"
"May 09","100.74","100.09","107.28","96.03","-","0.60%"
"Apr 09","100.14","83.93","100.97","82.71","-","19.20%"
"Mar 09","84.01","81.91","87.24","75.49","-","1.62%"
"Feb 09","82.67","89.93","99.53","80.68","-","-8.69%"
"Jan 09","90.54","95.58","104.04","84.37","-","-5.27%"
"Dec 08","95.58","94.40","96.05","85.48","-","1.26%"
"Nov 08","94.39","96.43","104.74","79.19","-","-1.74%"
"Oct 08","96.06","123.61","125.01","79.27","-","-21.90%"
"Sep 08","123.00","146.04","149.75","117.05","-","-16.02%"
"Aug 08","146.47","142.61","149.37","138.26","-","2.53%"
"Jul 08","142.85","144.49","147.05","131.39","-","-1.29%"
"Jun 08","144.71","165.07","165.10","142.40","-","-12.41%"
"May 08","165.21","160.86","171.01","160.79","-","2.72%"
"Apr 08","160.83","154.55","162.93","151.41","-","4.02%"
"Mar 08","154.62","159.20","162.18","145.52","-","-3.91%"
"Feb 08","160.92","159.68","168.28","154.20","-","1.37%"
"Jan 08","158.74","186.58","187.56","143.66","-","-15.02%"
"Dec 07","186.79","188.59","193.45","182.28","-","-0.99%"
"Nov 07","188.65","198.44","199.32","176.27","-","-4.82%"
"Oct 07","198.21","190.13","201.45","188.44","-","4.22%"
"Sep 07","190.19","193.74","195.24","179.30","-","-1.73%"
"Aug 07","193.53","196.82","198.14","175.71","-","-2.25%"
"Jul 07","197.99","204.54","213.94","192.76","-","-3.54%"
"Jun 07","205.26","205.34","209.16","194.37","-","-0.00%"
"May 07","205.27","196.66","205.57","192.91","-","4.40%"
"Apr 07","196.62","185.00","197.71","184.54","-","6.20%"
"Mar 07","185.14","178.54","186.20","170.69","-","3.64%"
"Feb 07","178.63","182.48","189.45","175.69","-","-1.77%"
"Jan 07","181.85","173.32","182.89","171.59","-","5.05%"
"Dec 06","173.11","163.16","173.27","161.71","-","6.30%"
"Nov 06","162.85","160.31","167.36","158.64","-","1.58%"
"Oct 06","160.32","153.31","162.15","152.05","-","4.82%"
"Sep 06","152.95","147.64","153.66","145.91","-","3.62%"
"Aug 06","147.60","142.30","148.28","139.55","-","3.79%"
"Jul 06","142.21","144.93","145.64","134.71","-","-1.76%"
"Jun 06","144.76","144.66","147.48","131.97","-","0.04%"
"May 06","144.70","156.69","161.61","138.51","-","-7.59%"
"Apr 06","156.58","154.26","159.13","151.58","-","1.67%"
"Mar 06","154.01","150.45","154.53","147.56","-","2.45%"
"Feb 06","150.32","145.18","153.09","144.34","-","3.60%"
"Jan 06","145.09","137.88","145.94","137.88","-","5.26%"
"Dec 05","137.84","129.82","138.83","129.82","-","6.47%"
"Nov 05","129.46","123.01","130.82","122.82","-","5.22%"
"Oct 05","123.04","127.42","128.77","118.37","-","-3.38%"
"Sep 05","127.35","122.24","127.42","122.24","-","4.41%"
"Aug 05","121.97","120.77","123.72","120.18","-","1.08%"
"Jul 05","120.67","116.18","121.42","113.09","-","3.79%"
"Jun 05","116.26","112.85","118.38","112.82","-","3.11%"
"May 05","112.75","106.14","112.95","106.14","-","6.30%"
"Apr 05","106.07","111.04","113.54","105.36","-","-4.29%"
"Mar 05","110.83","110.82","113.19","109.93","-","0.01%"
"Feb 05","110.82","108.54","112.17","108.31","-","2.13%"
"Jan 05","108.51","102.38","108.60","102.38","-","6.06%"
