"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17","1,763.38","1,713.50","1,765.51","1,702.45","-","3.23%"
"Aug 17","1,708.24","1,720.92","1,736.33","1,679.73","-","-0.23%"
"Jul 17","1,712.13","1,668.92","1,727.85","1,656.12","-","2.94%"
"Jun 17","1,663.22","1,684.12","1,702.91","1,645.70","-","-1.30%"
"May 17","1,685.15","1,617.65","1,696.99","1,617.44","-","4.08%"
"Apr 17","1,619.06","1,573.03","1,628.30","1,542.57","-","3.12%"
"Mar 17","1,570.11","1,511.20","1,579.70","1,508.71","-","3.64%"
"Feb 17","1,514.95","1,505.89","1,524.06","1,486.69","-","0.93%"
"Jan 17","1,501.03","1,468.02","1,527.39","1,464.78","-","2.04%"
"Dec 16","1,471.08","1,401.87","1,473.09","1,383.13","-","5.18%"
"Nov 16","1,398.61","1,442.35","1,451.78","1,378.32","-","-2.34%"
"Oct 16","1,432.15","1,477.85","1,495.38","1,417.08","-","-3.36%"
"Sep 16","1,481.94","1,476.05","1,522.03","1,443.42","-","0.81%"
"Aug 16","1,470.06","1,467.54","1,498.85","1,436.44","-","0.01%"
"Jul 16","1,469.94","1,409.00","1,469.94","1,352.79","-","4.11%"
"Jun 16","1,411.93","1,478.11","1,521.74","1,302.00","-","-4.68%"
"May 16","1,481.20","1,503.53","1,514.86","1,432.56","-","-1.36%"
"Apr 16","1,501.57","1,472.12","1,528.23","1,424.64","-","1.86%"
"Mar 16","1,474.19","1,392.32","1,488.92","1,386.63","-","5.92%"
"Feb 16","1,391.74","1,431.95","1,431.95","1,315.81","-","-2.08%"
"Jan 16","1,421.36","1,522.65","1,522.65","1,338.19","-","-6.65%"
"Dec 15","1,522.65","1,569.66","1,576.13","1,472.42","-","-2.62%"
"Nov 15","1,563.66","1,591.14","1,608.96","1,513.86","-","-1.99%"
"Oct 15","1,595.40","1,488.74","1,616.56","1,485.27","-","7.06%"
"Sep 15","1,490.22","1,572.22","1,581.49","1,450.98","-","-4.74%"
"Aug 15","1,564.40","1,683.44","1,698.86","1,494.73","-","-7.38%"
"Jul 15","1,689.05","1,646.04","1,710.03","1,571.98","-","3.06%"
"Jun 15","1,638.88","1,694.67","1,736.81","1,637.75","-","-3.23%"
"May 15","1,693.60","1,723.07","1,762.56","1,683.26","-","-1.40%"
"Apr 15","1,717.70","1,653.22","1,744.54","1,649.58","-","3.85%"
"Mar 15","1,654.00","1,698.22","1,714.79","1,608.08","-","-3.02%"
"Feb 15","1,705.44","1,608.28","1,709.58","1,603.76","-","6.13%"
"Jan 15","1,606.97","1,608.15","1,635.92","1,510.36","-","-0.07%"
"Dec 14","1,608.15","1,674.16","1,686.55","1,546.55","-","-4.34%"
"Nov 14","1,681.09","1,635.99","1,689.29","1,609.28","-","2.49%"
"Oct 14","1,640.22","1,685.28","1,685.96","1,504.63","-","-2.70%"
"Sep 14","1,685.77","1,750.61","1,772.24","1,676.00","-","-3.83%"
"Aug 14","1,752.98","1,750.59","1,763.25","1,680.70","-","0.16%"
"Jul 14","1,750.15","1,821.35","1,846.16","1,747.72","-","-3.83%"
"Jun 14","1,819.89","1,826.57","1,850.70","1,798.82","-","-0.29%"
"May 14","1,825.26","1,824.60","1,831.63","1,795.71","-","0.19%"
"Apr 14","1,821.86","1,791.33","1,822.63","1,748.56","-","2.01%"
"Mar 14","1,785.94","1,785.29","1,815.35","1,722.70","-","-1.33%"
"Feb 14","1,810.00","1,688.20","1,810.50","1,655.71","-","7.09%"
