"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14","71.25","67.05","71.25","66.30","101.65M","5.48%"
"Jul 14","67.55","68.85","69.95","67.45","88.98M","-1.67%"
"Jun 14","68.70","70.50","70.60","68.55","102.58M","-2.21%"
"May 14","70.25","67.85","72.05","67.05","111.69M","3.38%"
"Apr 14","67.95","66.35","68.75","65.75","206.81M","2.10%"
"Mar 14","66.55","66.05","67.30","63.85","120.71M","-0.08%"
"Feb 14","66.60","65.95","68.90","64.55","133.25M","1.22%"
"Jan 14","65.80","65.00","69.35","64.85","140.38M","0.77%"
"Dec 13","65.30","66.10","66.30","62.95","113.02M","-1.36%"
"Nov 13","66.20","65.55","67.80","64.85","85.43M","1.07%"
"Oct 13","65.50","62.50","66.10","60.60","111.40M","3.56%"
"Sep 13","63.25","61.50","64.00","60.60","100.19M","3.60%"
"Aug 13","61.05","63.55","65.70","60.50","112.81M","-2.63%"
"Jul 13","62.70","62.40","64.50","61.60","109.54M","1.21%"
"Jun 13","61.95","63.00","64.20","59.20","176.42M","-2.36%"
"May 13","63.45","66.00","68.10","63.30","117.76M","-4.44%"
"Apr 13","66.40","68.70","70.00","62.75","198.35M","-3.28%"
"Mar 13","68.65","65.30","69.00","65.05","120.09M","4.81%"
"Feb 13","65.50","63.75","65.50","62.70","109.41M","2.50%"
"Jan 13","63.90","60.10","64.50","60.05","109.53M","7.21%"
"Dec 12","59.60","60.80","61.40","59.60","75.32M","-1.73%"
"Nov 12","60.65","59.00","61.00","58.30","93.28M","2.62%"
"Oct 12","59.10","59.45","62.30","59.10","98.97M","-0.34%"
"Sep 12","59.30","59.40","60.15","58.20","96.40M","-0.08%"
"Aug 12","59.35","60.05","61.80","59.30","95.16M","-1.17%"
"Jul 12","60.05","56.55","60.05","56.50","97.12M","6.19%"
"Jun 12","56.55","55.00","56.55","53.80","119.62M","2.72%"
"May 12","55.05","55.80","55.95","54.05","101.41M","-0.99%"
"Apr 12","55.60","57.00","57.50","55.05","142.40M","-2.11%"
"Mar 12","56.80","55.30","57.25","55.15","135.29M","2.71%"
"Feb 12","55.30","52.90","56.20","52.50","133.64M","4.83%"
"Jan 12","52.75","54.10","54.80","52.70","114.87M","-2.31%"
"Dec 11","54.00","51.20","54.00","50.65","129.01M","5.57%"
"Nov 11","51.15","50.50","52.25","49.92","155.85M","0.49%"
"Oct 11","50.90","49.94","52.35","49.36","124.25M","1.60%"
"Sep 11","50.10","49.95","50.50","47.51","207.81M","0.38%"
"Aug 11","49.91","49.75","51.15","43.50","264.08M","-0.68%"
"Jul 11","50.25","52.35","53.20","50.00","129.25M","-3.83%"
"Jun 11","52.25","54.95","55.00","51.15","155.70M","-4.57%"
"May 11","54.75","53.90","55.20","53.55","147.74M","1.96%"
"Apr 11","53.70","52.85","54.55","51.95","152.89M","1.99%"
"Mar 11","52.65","52.40","53.25","48.92","211.34M","0.10%"
"Feb 11","52.60","51.25","53.85","50.55","177.74M","3.04%"
"Jan 11","51.05","55.05","55.45","51.00","171.90M","-6.76%"
"Dec 10","54.75","54.75","56.60","54.30","122.55M","0.37%"
"Nov 10","54.55","53.95","56.90","53.75","147.94M","1.21%"
"Oct 10","53.90","52.35","53.95","51.65","130.44M","2.96%"
"Sep 10","52.35","52.75","54.15","52.05","161.30M","-0.48%"
"Aug 10","52.60","51.50","53.70","50.10","145.47M","2.14%"
