"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16","574.49","572.51","585.58","560.37","-","0.35%"
"Aug 16","572.51","549.76","580.08","540.51","-","4.14%"
"Jul 16","549.76","519.30","554.68","497.21","-","5.87%"
"Jun 16","519.30","550.54","552.21","488.04","-","-5.67%"
"May 16","550.54","537.03","553.55","523.24","-","2.52%"
"Apr 16","537.03","539.54","556.88","516.66","-","-0.47%"
"Mar 16","539.54","511.76","548.16","509.83","-","5.43%"
"Feb 16","511.76","514.04","515.64","457.59","-","-0.44%"
"Jan 16","514.04","539.59","539.59","477.57","-","-4.74%"
"Dec 15","539.59","578.15","579.00","521.45","-","-6.67%"
"Nov 15","578.15","549.11","578.58","540.97","-","5.29%"
"Oct 15","549.11","497.43","551.94","493.24","-","10.39%"
"Sep 15","497.43","532.97","533.86","482.29","-","-6.67%"
"Aug 15","532.97","578.67","593.82","491.36","-","-7.90%"
"Jul 15","578.67","542.25","584.23","524.81","-","6.72%"
"Jun 15","542.25","576.63","580.83","535.34","-","-5.96%"
"May 15","576.63","582.09","595.77","560.05","-","-0.94%"
"Apr 15","582.09","590.53","612.36","572.74","-","-1.43%"
"Mar 15","590.53","582.01","607.91","571.04","-","1.46%"
"Feb 15","582.01","542.65","582.01","539.41","-","7.25%"
"Jan 15","542.65","511.02","565.95","493.66","-","6.19%"
"Dec 14","511.02","523.13","526.18","479.26","-","-2.31%"
"Nov 14","523.13","497.45","526.56","486.87","-","5.16%"
"Oct 14","497.45","507.93","510.48","437.00","-","-2.06%"
"Sep 14","507.93","507.18","523.67","498.49","-","0.15%"
"Aug 14","507.18","495.58","512.71","471.36","-","2.34%"
"Jul 14","495.58","521.32","528.53","495.22","-","-4.94%"
"Jun 14","521.32","534.44","544.79","516.77","-","-2.45%"
"May 14","534.44","521.96","540.71","511.80","-","2.39%"
"Apr 14","521.96","525.37","539.86","506.54","-","-0.65%"
"Mar 14","525.37","526.94","530.86","489.85","-","-0.30%"
"Feb 14","526.94","509.64","531.14","499.76","-","3.39%"
"Jan 14","509.64","528.92","543.48","501.41","-","-3.65%"
"Dec 13","528.92","519.24","531.72","496.25","-","1.86%"
"Nov 13","519.24","509.10","520.95","504.60","-","1.99%"
"Oct 13","509.10","489.89","509.15","483.04","-","3.92%"
"Sep 13","489.89","454.02","498.18","454.02","-","7.90%"
"Aug 13","454.02","461.87","472.02","451.13","-","-1.70%"
"Jul 13","461.87","426.98","462.15","423.63","-","8.17%"
"Jun 13","426.98","451.53","453.23","414.53","-","-5.44%"
"May 13","451.53","433.07","461.70","428.67","-","4.26%"
"Apr 13","433.07","439.03","446.46","411.53","-","-1.36%"
"Mar 13","439.03","434.83","452.74","429.74","-","0.97%"
"Feb 13","434.83","427.10","437.33","418.81","-","1.81%"
"Jan 13","427.10","411.46","431.72","411.46","-","3.80%"
"Dec 12","411.46","398.23","417.18","398.23","-","3.32%"
"Nov 12","398.23","388.01","401.63","379.92","-","2.63%"
"Oct 12","388.01","376.36","395.12","376.36","-","3.10%"
"Sep 12","376.36","376.62","393.96","371.88","-","-0.07%"
"Aug 12","376.62","359.22","384.73","356.66","-","4.84%"
"Jul 12","359.22","343.56","363.75","339.35","-","4.56%"
"Jun 12","343.56","336.27","343.56","321.26","-","2.17%"
"May 12","336.27","366.71","372.08","333.22","-","-8.30%"
"Apr 12","366.71","378.81","384.95","351.41","-","-3.19%"
"Mar 12","378.81","375.74","394.70","361.89","-","0.82%"
"Feb 12","375.74","358.59","379.44","358.59","-","4.78%"
"Jan 12","358.59","338.95","371.64","338.95","-","5.79%"
"Dec 11","338.95","340.96","348.78","318.11","-","-0.59%"
"Nov 11","340.96","344.33","347.31","301.23","-","-0.98%"
"Oct 11","344.33","314.55","363.40","292.68","-","9.47%"
"Sep 11","314.55","349.87","351.97","292.99","-","-10.10%"
"Aug 11","349.87","410.44","417.18","313.93","-","-14.76%"
"Jul 11","410.44","447.07","450.11","404.10","-","-8.19%"
"Jun 11","447.07","448.57","449.50","422.10","-","-0.33%"
"May 11","448.57","459.02","461.75","433.77","-","-2.28%"
"Apr 11","459.02","448.30","459.22","430.11","-","2.39%"
"Mar 11","448.30","452.91","458.75","402.72","-","-1.02%"
"Feb 11","452.91","442.14","458.59","434.59","-","2.44%"
"Jan 11","442.14","432.16","451.02","427.70","-","2.31%"
"Dec 10","432.16","406.63","443.09","406.63","-","6.28%"
"Nov 10","406.63","402.62","419.61","399.80","-","1.00%"
"Oct 10","402.62","383.75","409.85","375.64","-","4.92%"
"Sep 10","383.75","357.87","390.13","353.02","-","7.23%"
