"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 12","405.04","380.01","407.57","378.68","-","6.59%"
"Jun 12","380.01","355.25","380.01","344.85","-","6.97%"
"May 12","355.25","361.80","371.08","345.43","-","-1.81%"
"Apr 12","361.80","364.04","372.14","347.02","-","-0.62%"
"Mar 12","364.04","345.15","369.53","343.93","-","5.47%"
"Feb 12","345.15","349.72","354.59","344.94","-","-1.31%"
"Jan 12","349.72","347.29","353.60","342.47","-","0.70%"
"Dec 11","347.29","324.02","347.29","318.01","-","7.18%"
"Nov 11","324.02","324.62","325.11","297.10","-","-0.18%"
"Oct 11","324.62","312.07","331.63","303.58","-","4.02%"
"Sep 11","312.07","316.23","322.73","293.28","-","-1.32%"
"Aug 11","316.23","338.25","340.60","276.54","-","-6.51%"
"Jul 11","338.25","340.14","347.41","329.04","-","-0.56%"
"Jun 11","340.14","339.15","340.14","317.35","-","0.29%"
"May 11","339.15","333.53","346.03","327.59","-","1.69%"
"Apr 11","333.53","306.20","334.50","306.20","-","8.93%"
"Mar 11","306.20","308.75","318.22","288.84","-","-0.83%"
"Feb 11","308.75","300.99","314.70","300.91","-","2.58%"
"Jan 11","300.99","292.27","309.40","292.27","-","2.98%"
"Dec 10","292.27","288.72","302.32","288.72","-","1.23%"
"Nov 10","288.72","304.07","308.54","287.45","-","-5.05%"
"Oct 10","304.07","297.85","306.07","291.80","-","2.09%"
"Sep 10","297.85","282.32","305.59","281.99","-","5.50%"
"Aug 10","282.32","278.15","288.34","277.78","-","1.50%"
"Jul 10","278.15","296.87","297.99","275.22","-","-6.31%"
"Jun 10","296.87","291.22","306.64","285.40","-","1.94%"
"May 10","291.22","301.27","302.86","271.25","-","-3.34%"
"Apr 10","301.27","317.08","320.18","298.76","-","-4.99%"
"Mar 10","317.08","304.76","323.02","304.76","-","4.04%"
"Feb 10","304.76","301.66","309.67","291.85","-","1.03%"
"Jan 10","301.66","305.58","324.08","296.38","-","-1.28%"
"Dec 09","305.58","282.66","312.66","282.66","-","8.11%"
"Nov 09","282.66","276.30","292.90","272.21","-","2.30%"
"Oct 09","276.30","280.13","296.60","275.19","-","-1.37%"
"Sep 09","280.13","265.06","285.32","257.86","-","5.69%"
"Aug 09","265.06","260.43","270.37","251.13","-","1.78%"
"Jul 09","260.43","242.86","265.40","238.20","-","7.23%"
"Jun 09","242.86","250.82","266.89","236.35","-","-3.17%"
"May 09","250.82","244.83","254.13","239.95","-","2.45%"
"Apr 09","244.83","235.51","248.87","227.61","-","3.96%"
"Mar 09","235.51","232.20","237.29","218.03","-","1.43%"
"Feb 09","232.20","251.40","264.58","228.02","-","-7.64%"
"Jan 09","251.40","257.28","271.84","248.02","-","-1.73%"
"Dec 08","255.82","248.94","262.13","238.44","-","2.76%"
"Nov 08","248.94","277.11","282.37","226.78","-","-10.17%"
"Oct 08","277.11","273.88","289.52","218.11","-","1.18%"
"Sep 08","273.88","289.49","296.73","260.58","-","-5.39%"
"Aug 08","289.49","274.77","295.11","259.47","-","5.36%"
"Jul 08","274.77","286.63","302.17","267.26","-","-4.14%"
"Jun 08","286.63","301.58","301.58","276.93","-","-4.96%"
"May 08","301.58","309.12","312.78","291.86","-","-2.44%"
"Apr 08","309.12","288.00","312.37","286.13","-","7.33%"
"Mar 08","288.00","303.46","304.40","273.49","-","-5.09%"
"Feb 08","303.46","325.27","329.81","302.40","-","-6.71%"
"Jan 08","325.27","360.10","383.64","321.45","-","-9.67%"
"Dec 07","360.10","370.67","375.60","358.26","-","-2.85%"
"Nov 07","370.67","357.92","370.94","339.56","-","3.56%"
"Oct 07","357.92","354.15","374.17","346.01","-","1.06%"
"Sep 07","354.15","355.53","366.98","351.39","-","-0.39%"
"Aug 07","355.53","362.37","366.58","337.28","-","-1.89%"
"Jul 07","362.37","356.88","370.30","353.98","-","1.54%"
"Jun 07","356.88","406.37","407.76","354.36","-","-12.18%"
"May 07","406.37","391.32","406.89","387.97","-","3.85%"
"Apr 07","391.32","379.21","395.77","376.68","-","3.19%"
"Mar 07","379.21","376.05","384.29","366.45","-","0.84%"
"Feb 07","376.05","387.68","395.75","372.10","-","-3.00%"
"Jan 07","387.68","395.84","404.74","387.29","-","-2.06%"
"Dec 06","395.84","377.25","399.97","371.93","-","4.93%"
"Nov 06","377.25","379.51","384.73","370.63","-","-0.60%"
"Oct 06","379.51","392.51","397.50","374.34","-","-3.31%"
"Sep 06","392.51","390.84","399.16","376.27","-","0.43%"
"Aug 06","390.84","400.94","403.20","374.09","-","-2.52%"
"Jul 06","400.94","407.55","417.23","394.55","-","-1.62%"
"Jun 06","407.55","393.92","408.55","379.28","-","3.46%"
"May 06","393.92","402.47","411.58","385.67","-","-2.12%"
"Apr 06","402.47","415.64","417.52","396.52","-","-3.17%"
"Mar 06","415.64","368.83","417.69","362.89","-","12.69%"
"Feb 06","368.83","379.94","385.56","365.06","-","-2.92%"
"Jan 06","379.94","373.52","393.14","367.44","-","1.72%"
"Dec 05","373.52","352.65","380.04","352.65","-","5.92%"
"Nov 05","352.65","342.21","358.17","336.58","-","3.05%"
