This file was created using the 201909 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201202    ,6.41    ,1.43   ,-0.31    ,0.00
201203    ,0.02    ,0.70   ,-1.64    ,0.00
201204   ,-2.23    ,1.28   ,-4.24    ,0.00
201205  ,-12.31    ,0.15   ,-2.49    ,0.01
201206    ,7.13   ,-4.67    ,3.09    ,0.00
201207    ,0.56   ,-1.18   ,-2.60    ,0.00
201208    ,4.50   ,-0.19    ,3.33    ,0.01
201209    ,3.49    ,1.48    ,2.24    ,0.01
201210    ,1.66   ,-0.77    ,1.92    ,0.01
201211    ,2.27   ,-2.45   ,-0.55    ,0.01
201212    ,3.38    ,2.24    ,3.03    ,0.01
201301    ,6.20    ,0.37    ,4.35    ,0.00
201302   ,-2.49    ,2.14   ,-3.21    ,0.00
201303   ,-0.54   ,-0.46   ,-4.36    ,0.00
201304    ,4.16   ,-1.60    ,3.44    ,0.00
201305    ,1.06    ,1.04    ,2.93    ,0.00
201306   ,-4.64    ,2.31   ,-2.48    ,0.00
201307    ,7.45   ,-1.70    ,2.54    ,0.00
201308   ,-0.70    ,2.76    ,0.62    ,0.00
201309    ,7.04    ,0.19    ,1.27    ,0.00
201310    ,4.49   ,-0.18    ,4.45    ,0.00
201311    ,1.33    ,0.86   ,-0.52    ,0.00
201312    ,2.37    ,0.55   ,-0.18    ,0.00
201401   ,-3.03    ,3.60    ,2.40    ,0.00
201402    ,7.42    ,0.42    ,0.56    ,0.00
201403   ,-0.55    ,0.27    ,1.82    ,0.00
201404    ,1.77   ,-2.19    ,0.45    ,0.00
201405    ,0.76   ,-0.67   ,-0.54    ,0.00
201406   ,-0.12    ,0.05   ,-1.51    ,0.00
201407   ,-4.10   ,-0.40    ,0.08    ,0.00
201408   ,-0.02   ,-0.93   ,-0.93    ,0.00
201409   ,-3.79   ,-2.23   ,-0.33    ,0.00
201410   ,-2.70   ,-1.17   ,-3.17    ,0.00
201411    ,2.12   ,-1.31   ,-1.81    ,0.00
201412   ,-3.70    ,2.23   ,-2.31    ,0.00
201501   ,-0.30   ,-1.55   ,-3.32    ,0.00
201502    ,6.21    ,0.98    ,1.75    ,0.00
201503   ,-2.28   ,-0.45   ,-0.23    ,0.00
201504    ,4.79    ,2.19    ,0.25    ,0.00
201505   ,-0.15    ,1.64   ,-2.61    ,0.00
201506   ,-2.84    ,1.98    ,0.16    ,0.00
201507    ,2.39   ,-0.83   ,-2.67    ,0.00
201508   ,-6.02    ,3.80   ,-0.83    ,0.00
201509   ,-4.27    ,1.15   ,-3.55    ,0.00
201510    ,6.19   ,-2.91   ,-0.86    ,0.00
201511   ,-1.49    ,0.39   ,-2.53    ,0.00
201512   ,-1.86    ,3.82   ,-1.28    ,0.01
201601   ,-6.43   ,-0.77   ,-1.50    ,0.01
201602   ,-1.71    ,1.47    ,0.34    ,0.02
201603    ,6.70    ,1.63    ,1.22    ,0.02
201604    ,2.38   ,-0.65    ,3.33    ,0.01
201605   ,-0.38    ,1.53   ,-2.89    ,0.01
201606   ,-5.01   ,-2.31   ,-1.64    ,0.02
201607    ,4.44    ,1.52    ,0.39    ,0.02
201608    ,0.77    ,1.66    ,1.95    ,0.02
201609    ,0.95    ,0.85   ,-0.16    ,0.02
201610   ,-3.08   ,-0.84    ,6.41    ,0.02
201611   ,-2.50    ,0.85    ,1.94    ,0.01
201612    ,4.72   ,-0.76    ,1.88    ,0.03
201701    ,2.81    ,2.09    ,0.47    ,0.04
201702    ,0.68   ,-0.06   ,-2.62    ,0.04
201703    ,4.27   ,-1.34    ,0.49    ,0.03
201704    ,4.63    ,1.87   ,-1.25    ,0.05
201705    ,5.03   ,-0.04   ,-0.81    ,0.06
201706   ,-0.67    ,1.59    ,2.06    ,0.06
201707    ,3.49    ,0.73    ,2.46    ,0.07
201708    ,0.11   ,-0.07   ,-0.78    ,0.09
201709    ,2.72   ,-0.08    ,0.37    ,0.09
201710    ,0.59   ,-0.95   ,-0.28    ,0.09
201711   ,-0.01   ,-0.32    ,1.18    ,0.08
201712    ,1.47    ,1.56    ,0.49    ,0.09
201801    ,5.52    ,0.85    ,1.05    ,0.11
201802   ,-5.35    ,1.24   ,-0.76    ,0.11
201803   ,-0.70   ,-0.70   ,-0.90    ,0.12
201804    ,2.20   ,-0.82    ,1.47    ,0.14
201805   ,-2.72    ,1.29   ,-4.72    ,0.14
201806   ,-0.92   ,-0.86   ,-1.42    ,0.14
201807    ,2.69   ,-1.92    ,0.43    ,0.16
201808   ,-2.65    ,0.90   ,-2.59    ,0.16
201809    ,0.12   ,-1.46    ,2.30    ,0.15
201810   ,-8.54   ,-1.68    ,1.30    ,0.19
201811   ,-1.31   ,-1.21   ,-0.58    ,0.18
201812   ,-4.59   ,-0.77    ,0.87    ,0.19
201901    ,6.20    ,0.63   ,-0.98    ,0.21
201902    ,2.93   ,-1.53   ,-1.16    ,0.18
201903    ,0.58   ,-1.79   ,-2.30    ,0.19
201904    ,3.70    ,0.19   ,-0.99    ,0.21
201905   ,-5.34    ,1.27   ,-1.66    ,0.21
201906    ,5.87   ,-2.66   ,-1.23    ,0.18
201907   ,-2.56   ,-1.31    ,0.01    ,0.19
201908   ,-2.39   ,-0.59   ,-1.93    ,0.16
201909    ,2.15   ,-0.86    ,3.06    ,0.18



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991    ,4.55  ,-10.61   ,-7.08    ,5.60
1992  ,-11.29  ,-11.50   ,-1.32    ,3.51
1993   ,25.52    ,3.44   ,22.66    ,2.90
1994   ,-0.48    ,7.94    ,6.96    ,3.90
1995   ,13.33   ,-9.85   ,-6.74    ,5.60
1996   ,16.53   ,-2.30    ,1.53    ,5.21
1997   ,14.85  ,-13.45   ,12.51    ,5.26
1998   ,20.52  ,-15.51   ,-0.89    ,4.86
1999   ,14.97   ,15.67  ,-23.55    ,4.68
2000  ,-15.86   ,-5.56   ,27.54    ,5.89
2001  ,-24.00    ,0.65   ,26.05    ,3.83
2002  ,-15.75    ,8.01   ,21.26    ,1.65
2003   ,41.66   ,13.92   ,20.76    ,1.02
2004   ,22.59    ,8.71   ,11.04    ,1.20
2005    ,8.82    ,5.70    ,9.65    ,2.98
2006   ,32.20    ,7.71    ,9.91    ,4.80
2007    ,9.69   ,-9.08    ,0.07    ,4.66
2008  ,-47.52   ,-6.47   ,-3.21    ,1.60
2009   ,35.34   ,14.52    ,2.47    ,0.10
2010    ,6.32   ,10.10   ,-7.99    ,0.12
2011  ,-13.13   ,-7.61  ,-12.75    ,0.04
2012   ,20.77    ,1.00    ,1.90    ,0.06
2013   ,28.01    ,8.60   ,10.07    ,0.02
2014   ,-6.34   ,-2.25   ,-5.09    ,0.02
2015   ,-0.50   ,10.89  ,-16.42    ,0.02
2016   ,-0.04    ,4.05   ,11.21    ,0.20
2017   ,28.17    ,6.37    ,2.28    ,0.80
2018  ,-16.06   ,-4.42   ,-3.22    ,1.81
