Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2014Jul,-24393.672,-51398.452,-43423.466,5567.000,-30398.422,13025.043,30170.928,43773.745,13602.817,-73594.393,-24091.000,-74172.167,-577.774,-53378.948,-48912.338,4466.609,-16667.370,-24265.180,-7597.810,7076.000,11665.775,7584.315,3995.000,4081.459,596.452,3114.730,30441.000,36062.911,32136.042,-2229.000,3926.868,12688.921,-10455.903,-34177.000,-36806.738,6993.321,-35481.000,-43800.060,-19630.908,-23091.255,-41320.369,-1495.000,-2982.470,-7874.990,6331.000,4892.520,3722.000,-38337.899,3293.000,-43272.955
2014Jun,-18315.220,4108.640,-39592.424,32480.000,-2002.075,37590.349,-30538.632,-15236.010,15302.621,-9053.792,18202.000,13233.935,22287.728,19367.306,30040.375,10673.069,-20286.181,-14829.127,5457.054,13582.000,4915.747,-3621.647,9905.000,8537.393,7593.659,-534.290,7761.000,-14496.416,-19907.428,20411.000,5411.012,2092.035,-6549.717,-22691.000,-40165.950,-2529.556,-34469.000,-37636.394,-16620.324,-18482.040,47744.544,6630.000,6196.142,3072.902,1756.000,3123.240,27198.000,41548.402,20600.000,33798.684
2014May,100023.558,95529.848,99776.791,53362.000,130087.293,30310.502,-4336.411,-1069.455,3266.956,104113.202,61960.000,131156.748,27043.547,122821.154,135342.841,12521.686,-7112.963,2379.204,9492.167,8854.000,10442.397,-278.049,11511.000,10720.446,10277.952,926.320,53796.000,65141.797,-6365.214,60525.000,71507.011,59126.991,5151.170,-24994.000,-13031.196,-2335.864,-22763.000,-10695.332,1956.974,-11562.765,67534.295,664.000,-1100.021,-2351.431,1681.000,1251.410,15041.000,68634.316,11006.000,58373.213
2014Apr,-23652.419,-5847.463,-35793.392,-31480.000,-32263.690,3529.701,-11307.169,-15159.683,-3852.514,-24486.223,-14970.000,-17104.007,7382.215,9189.111,10657.782,1468.671,-19869.855,-21652.368,-1782.513,-5957.000,271.183,-916.598,-582.000,1187.781,2300.114,882.530,-36889.000,-14272.329,-1256.649,-32021.000,-13015.680,17616.484,-38552.649,-26749.000,-27389.223,-6593.115,-22821.000,-20796.108,-8250.287,-10265.984,9126.679,-2106.000,-5455.888,-6254.078,2269.000,798.190,40222.000,14582.567,38184.000,14721.809
2014Mar,-22456.824,-50057.546,-35318.390,-53477.000,-48382.836,-13064.446,19620.556,3984.650,-15635.907,-54938.946,-49468.000,-52367.486,2571.460,7158.277,2780.236,-4378.040,-61739.873,-64422.974,-2683.101,-5362.000,282.342,-3127.301,-1505.000,3409.643,842.361,1270.070,-8755.000,-20192.298,21814.714,-27809.000,-42007.012,-2355.644,-46581.641,-54107.000,-63846.118,-14900.304,-41816.000,-48945.814,-34749.287,-11183.214,35373.238,-6814.000,-822.600,3953.640,-7096.000,-4776.240,21561.000,36195.838,28758.000,39951.938
2014Feb,61845.930,47260.313,49046.831,25849.000,66848.011,17801.180,11606.378,15291.717,3685.339,37440.453,25967.000,51556.294,14115.841,54432.115,63363.677,8931.563,-8597.557,-11424.640,-2827.082,-4833.000,-3563.831,-3481.054,2053.000,-82.777,-568.985,165.590,18916.000,4514.054,496.344,21238.000,4017.710,-2056.049,-2713.874,-48544.000,-29726.863,12545.756,-54329.000,-42272.619,-26567.735,-14522.420,95624.652,9865.000,12838.805,-579.776,10939.000,13418.581,50446.000,82785.847,46066.000,76475.399
2014Jan,22037.647,-41356.371,32129.273,41086.000,95558.002,63428.730,70268.700,101879.144,31610.443,-38139.427,-22180.000,-6321.141,31818.286,-17699.493,6249.014,23948.506,-1928.094,3474.709,5402.803,18332.000,23094.624,12012.934,12934.000,11081.689,8169.225,2857.812,22751.000,23922.592,9758.709,13084.000,14163.882,8908.152,2387.142,-6956.000,28569.872,55194.151,-40529.000,-26624.279,-18045.158,-5205.056,19970.915,-2011.000,-5185.794,1141.976,-3728.000,-6327.770,8971.000,25156.709,-3942.000,1385.336
2013Dec,-194342.157,-115433.715,-190912.384,-109516.000,-233421.485,-42509.101,-84697.541,-111038.408,-26340.867,-106214.843,-50475.000,-122383.077,-16168.234,-44983.384,-61366.790,-16383.406,-47128.270,-47379.185,-250.915,-938.000,-14858.088,-11705.400,1148.000,-3152.688,337.058,-1893.320,-71920.000,-75378.876,-27416.566,-47088.000,-47962.310,-26914.024,-23482.916,-45254.000,-79394.733,-38000.881,-20332.000,-41393.852,-15445.832,-19506.707,-63789.788,1384.000,-313.782,930.773,901.000,-1244.555,7212.000,-63476.006,14896.000,-28629.672
2013Nov,108247.330,113733.119,80535.972,32392.000,85724.540,5188.568,-9128.214,-21030.606,-11902.392,89664.187,53705.000,106755.146,17090.960,57189.099,70628.050,13438.951,30948.845,33105.473,2156.627,7005.000,7478.169,-3466.550,8673.000,10944.719,10062.345,514.130,1364.000,14930.104,787.044,652.000,14143.060,13023.261,-53.484,-11563.000,-5107.621,-9545.924,1039.000,4438.303,3582.019,5148.646,68423.888,3824.000,4893.402,4245.042,-652.000,648.360,31762.000,63530.486,43992.000,76580.704
2013Oct,911.226,19757.279,-11406.597,-27398.000,-24382.469,-12975.872,-12671.844,-19130.351,-6458.507,1265.247,-14287.000,-5252.118,-6517.365,17094.395,15833.765,-1260.630,-10123.599,-16377.552,-6253.954,6158.000,7597.001,-528.125,7528.000,8125.126,9985.369,-2717.900,-30587.000,-13720.405,-9103.518,-20756.000,-4616.887,9116.148,-15758.204,-16357.000,-20885.651,-12575.820,-9282.000,-8309.830,-4698.442,-1343.394,2626.585,-3477.000,-278.622,-291.832,-779.000,13.210,16865.000,2905.207,9002.000,-463.737
2013Sep,3090.362,11479.237,-13879.419,5543.000,-12836.936,1042.482,-14459.090,-22119.701,-7660.611,579.671,24349.000,9282.765,8703.093,17138.781,26756.000,9617.219,-6229.358,-8091.029,-1861.670,14510.000,15384.991,-1870.672,13047.000,17255.663,13814.984,3187.960,-1473.000,-6114.998,-1393.438,-861.000,-4721.560,2319.961,-7898.464,-26433.000,-39066.389,-13897.479,-15804.000,-25168.910,-9450.733,-8989.718,16959.460,-1139.000,-3471.895,-4332.485,1461.000,860.590,20078.000,20431.355,26506.000,21056.982
2013Aug,-24979.329,-18034.790,-26657.709,6256.000,-13937.886,12719.824,-5148.712,-279.351,4869.361,-21508.997,12642.000,-13658.535,7850.463,13752.333,14723.798,971.464,-15926.253,-15698.925,227.328,9722.000,5114.179,-592.045,9081.000,5706.224,2769.274,1605.830,7856.000,-4223.329,-63.659,8662.000,-4159.670,6171.377,-14524.143,-32933.000,-25585.259,-7041.089,-20993.000,-18544.170,-2742.062,-4737.114,10756.522,4409.000,5311.178,1605.387,3648.000,3705.791,17202.000,5445.344,12243.000,-366.710
2013Jul,-70190.033,-72731.824,-76486.798,-48918.000,-83685.315,-7198.517,9646.434,11839.462,2193.028,-86133.232,-44653.000,-95524.777,-9391.545,-47300.980,-56712.336,-9411.356,-38578.601,-37071.866,1506.734,485.000,5026.923,2470.848,2975.000,2556.075,4524.725,-1381.250,-4527.000,-1399.463,750.996,-5458.000,-2150.459,9453.939,-13106.713,-44983.000,-47923.375,9295.119,-49007.000,-57218.493,-32993.957,-11425.685,-39389.400,-6728.000,-8142.168,-4115.948,-2442.000,-4026.220,6835.000,-31247.232,9279.000,-34685.680
2013Jun,-66999.132,-36087.545,-55870.372,-28557.000,-69436.133,-13565.761,-34065.190,-34227.814,-162.624,-21805.182,-27738.000,-35208.320,-13403.137,32134.297,20781.267,-11353.030,-44753.819,-47079.987,-2326.168,2710.000,-7367.856,-9570.291,3485.000,2202.435,2749.895,301.600,-8189.000,-32405.016,-10849.401,-5713.000,-21555.615,5213.536,-25301.679,-30256.000,-49581.044,-10380.449,-35324.000,-39200.594,-8396.852,-23873.088,19917.783,-5647.000,-6582.301,-6892.841,-1020.000,310.540,12824.000,26500.084,10834.000,23034.915
2013May,66943.361,70247.002,72461.714,14886.000,92027.492,19565.779,-4115.260,1326.081,5441.341,76576.974,23031.000,90701.411,14124.438,65524.773,74669.333,9144.560,4294.532,10903.984,6609.452,-1004.000,2502.641,4948.721,-2473.000,-2446.080,-1794.768,319.360,864.000,12331.390,1556.201,933.000,10775.189,10855.236,-542.472,-52948.000,-37739.674,-7246.560,-45358.000,-30493.114,-19155.740,-9846.485,114933.135,-3703.000,-5572.873,-5335.613,-15.000,-237.260,71678.000,120506.008,69945.000,113102.676
2013Apr,-9486.473,-6472.596,-15372.165,-13726.000,-7885.091,7487.075,2047.324,-2405.416,-4452.740,-17419.490,-9147.000,-5479.675,11939.815,11085.303,20501.587,9416.284,-11531.107,-11855.255,-324.148,7047.000,14042.700,2876.139,9089.000,11166.561,9667.941,995.890,4296.000,24382.100,5899.764,1473.000,18482.336,20418.530,-4633.239,-36839.000,-35927.672,1127.192,-39897.000,-37054.864,-10640.217,-17804.535,-10382.219,5326.000,2229.582,-1758.498,4918.000,3988.080,6444.000,-12611.801,15270.000,-2061.788
2013Mar,-75340.628,-61858.157,-31456.991,-25730.000,-26181.909,5275.082,-23723.991,-22107.670,1616.321,-7733.000,1839.000,-4074.239,3658.761,17877.097,27842.139,9965.041,-34464.875,-36999.839,-2534.963,8530.000,12392.976,1942.786,7133.000,10450.190,12036.780,664.870,-12716.000,-20135.629,-19999.205,11699.000,-136.424,1684.778,-227.016,-65474.000,-75474.794,-9585.400,-59363.000,-65889.395,-29371.454,-36395.179,57035.538,2627.000,8925.888,8426.048,-1782.000,499.840,41303.000,48109.650,44153.000,51001.550
2013Feb,-11905.940,-18102.780,-2219.393,-13797.000,32160.805,34380.198,9848.942,20076.897,10227.955,-12068.336,-20179.000,12083.907,24152.243,38436.715,57447.762,19011.046,-45974.910,-43419.250,2555.660,5764.000,7487.135,5493.038,3213.000,1994.097,37.147,-158.650,18899.000,4131.810,22084.484,-1808.000,-17952.674,26212.852,-48397.719,-67569.000,-47696.474,-7206.022,-53949.000,-40490.452,-15257.665,-17384.991,68238.334,-7946.000,-5075.430,-1928.500,-5417.000,-3146.930,37055.000,73313.764,37782.000,71679.867
2013Jan,-7259.778,731.165,2080.364,-40575.000,14685.792,12605.427,-3686.835,10624.523,14311.358,5767.199,-7143.000,4061.269,-1705.931,39553.924,44697.149,5143.225,-43003.293,-50316.098,-7312.806,6053.000,11887.071,2263.455,11048.000,9623.616,8723.290,653.860,-14792.000,-14533.337,-226.678,-13886.000,-14306.658,19509.908,-31672.229,-53438.000,-15779.423,4323.505,-33393.000,-20102.927,355.784,-16145.020,33111.479,4413.000,653.281,-3502.019,6449.000,4155.300,17189.000,32458.198,22638.000,24691.938
2012Dec,-149866.947,-85206.958,-152655.138,-37897.000,-165402.629,-12747.491,-65634.892,-70799.657,-5164.765,-87020.247,-26177.000,-94602.973,-7582.726,-53215.561,-50241.411,2974.150,-10376.871,-21544.658,-11167.787,22144.000,6681.514,-3061.720,14176.000,9743.234,8215.549,674.028,17795.000,17092.817,4277.579,11208.000,12815.238,1672.254,12700.501,-44529.000,-81140.088,-36221.315,-23154.000,-44918.773,-7802.217,-28572.413,-108036.872,-10529.000,-10996.466,-8102.806,-1085.000,-2893.660,-22778.000,-97040.406,-27323.000,-69349.011
2012Nov,21846.890,50640.196,20841.116,-12297.000,43454.279,22613.163,-21435.859,-15438.962,5996.897,42276.975,5158.000,58893.241,16616.266,80041.954,94635.520,14593.566,-46977.875,-47484.905,-507.030,8111.000,8833.236,-3174.525,9720.000,12007.760,12449.740,-123.838,-4854.000,9724.565,2503.601,-7455.000,7220.964,10815.943,-12199.190,-28039.000,-19900.494,-16722.663,-6488.000,-3177.831,-4846.168,3518.170,44796.973,-6210.000,-5539.868,-10089.998,3327.000,4550.130,18694.000,50336.841,6053.000,38292.218
2012Oct,-3525.132,23867.928,6390.086,18771.000,27539.948,21149.862,-13767.993,-8860.610,4907.383,20158.079,24455.000,36400.558,16242.479,6731.843,21710.724,14978.882,829.481,-3396.257,-4225.738,8759.000,10290.735,-1358.270,11019.000,11649.006,12456.429,-1123.260,-1226.000,18395.852,206.626,-365.000,18189.226,17726.047,-14949.983,-13777.000,-19908.599,-12226.759,-7682.000,-7681.841,-2022.309,-4256.474,18761.959,-3222.000,1789.990,4505.730,-3177.000,-2715.740,28238.000,16971.969,24660.000,16959.907
2012Sep,-13226.845,17132.613,-15987.141,391.000,-30314.933,-14327.791,-35687.759,-47041.732,-11353.973,19700.618,39573.000,16726.800,-2973.818,54959.349,54851.178,-108.172,-44195.999,-49267.211,-5071.212,19235.000,18383.229,-6858.480,22338.000,25241.708,24891.863,-56.910,-4489.000,-13502.459,-7305.072,895.000,-6197.386,10710.832,-23828.722,-40733.000,-58653.717,-32107.238,-14575.000,-26546.479,-13217.794,-11588.649,23458.014,1243.000,-2101.694,-5165.274,3885.000,3063.580,25136.000,25559.708,27030.000,21165.376
2012Aug,-22040.821,-10774.302,-13362.720,-17019.000,-36814.445,-23451.724,-5395.506,-16356.378,-10960.872,-7967.214,8453.000,-20458.067,-12490.852,33100.036,33644.145,544.109,-29921.503,-38004.986,-8083.483,7644.000,3528.432,-2277.035,8612.000,5805.467,6865.962,-291.580,-27677.000,-39771.757,-2620.744,-24022.000,-37151.013,-3155.424,-28513.604,-7317.000,522.549,681.165,-1277.000,-158.616,-487.907,1993.616,-1093.669,-3823.000,-2848.380,-3961.280,1216.000,1112.900,14153.000,1754.711,23923.000,9933.196
2012Jul,-6315.154,-25955.418,-9994.353,53981.000,25763.765,35758.118,24073.337,33552.847,9479.511,-34067.690,39095.000,-7789.082,26278.608,-31898.125,-24703.696,7194.430,-14969.066,-4926.755,10042.311,4647.000,9204.143,262.315,9525.000,8941.828,6951.761,1216.030,-13323.000,-9865.400,-1486.395,-11654.000,-8379.005,3441.216,-29071.528,33955.000,33329.631,24983.889,15317.000,8345.742,-2543.974,9005.991,-6904.609,8667.000,7289.004,3195.854,5787.000,4093.150,20035.000,-14193.613,20120.000,-20790.797
2012Jun,6987.969,38050.684,-1723.987,26829.000,-19597.770,-17873.783,-42406.157,-41208.235,1197.922,40682.170,30479.000,21610.465,-19071.706,49268.653,40547.343,-8721.310,-10776.582,-20413.207,-9636.625,14312.000,4720.788,-6138.771,11561.000,10859.558,12423.741,-1105.455,-41023.000,-63296.418,-7576.862,-39651.000,-55719.555,-7893.798,-49480.532,24215.000,-1416.951,-20292.876,23573.000,18875.925,5016.513,16447.130,40394.811,10964.000,8661.802,972.952,6623.000,7688.850,18361.000,31733.009,28373.000,39905.687
2012May,39157.463,47374.704,37691.460,-21860.000,53577.020,15885.561,-7404.951,-10743.396,-3338.445,45096.411,-591.000,64320.416,19224.005,75223.915,80075.976,4852.061,-4767.745,920.566,5688.311,8189.000,13010.330,8352.967,3846.000,4657.362,3315.079,-462.206,19.000,9772.086,1197.916,297.000,8574.170,21064.205,10027.051,-47479.000,-27976.213,-14319.078,-31629.000,-13657.135,-7311.342,-8206.024,58770.818,1824.000,-289.041,-2121.001,2085.000,1831.960,15587.000,59059.859,24809.000,62914.059
2012Apr,-36425.339,-21102.258,-10500.978,-11912.000,-2705.180,7795.798,168.006,-6765.163,-6933.169,-10668.984,-4594.000,4059.983,14728.967,-16541.027,-2736.679,13804.349,-13699.932,-17938.191,-4238.259,8580.000,15194.519,11927.199,1429.000,3267.320,3366.731,-430.670,14124.000,29516.108,4137.520,11928.000,25378.587,-845.029,-7071.033,-34872.000,-33086.169,-7008.027,-29787.000,-26078.142,-8758.991,-16781.745,-14329.637,-2823.000,-6228.385,-8053.965,1848.000,1825.580,3079.000,-8101.252,9988.000,-333.362
2012Mar,137424.080,127655.220,36962.789,81839.000,75273.010,38310.221,-12073.035,1192.998,13266.032,49035.824,82635.000,74080.012,25044.188,50221.092,54285.713,4064.621,-37231.617,-17890.394,19341.223,11392.000,13492.454,-1801.386,13659.000,15293.840,14326.682,417.350,38058.000,31570.880,8099.409,33612.000,23471.471,-2712.919,-10014.453,34712.000,24673.976,-9491.341,39923.000,34165.317,43249.856,-6970.182,5535.700,10107.000,16559.302,7397.032,7295.000,9162.270,-12430.000,-11023.602,-11853.000,-8012.885
2012Feb,179046.936,161549.940,137687.327,105006.000,155912.086,18224.760,9674.252,16443.170,6768.918,128013.075,100662.000,139468.916,11455.841,109546.070,123102.867,13556.797,16021.367,10069.747,-5951.620,8356.000,10899.293,2135.055,9046.000,8764.238,6429.459,145.130,20078.000,7459.412,5989.034,13820.000,1470.378,3515.100,-10556.034,49108.000,70729.472,8332.579,47506.000,62396.893,49063.752,10531.801,66823.909,18987.000,21748.140,5284.760,14627.000,16463.380,8478.000,45075.769,15662.000,50374.027
2012Jan,96423.331,87983.760,89015.913,21922.000,81845.806,-7170.107,23398.921,27503.393,4104.472,65616.993,48778.000,54342.413,-11274.579,55058.339,56371.202,1312.864,1178.726,-13368.017,-14546.743,4495.000,10364.714,4565.393,6923.000,5799.321,4587.326,375.500,-5091.000,-7153.610,2014.554,-6331.000,-9168.164,3084.825,-17855.204,-28680.000,13007.918,3294.690,-1283.000,9713.228,20202.536,-8396.767,65626.784,13470.000,9408.014,3188.444,7886.000,6219.570,37729.000,56218.770,41584.000,41778.459
2011Dec,51906.485,35545.035,51177.114,178178.000,48974.964,-2202.150,1171.548,-2566.271,-3737.819,50005.566,118161.000,51541.235,1535.669,29702.555,26099.623,-3602.932,29565.717,32743.006,3177.289,7320.000,-6508.411,-7502.935,4949.000,994.523,1028.265,326.662,15132.000,15912.106,1717.901,12020.000,14194.205,-3537.052,15999.887,92975.000,54028.340,53432.549,21611.000,595.791,-396.147,10356.466,-14457.071,82.000,1242.171,2062.678,649.000,-820.507,62669.000,-15699.242,78931.000,36577.223
2011Nov,88903.546,73062.015,95839.861,48165.000,105797.799,9957.937,12154.167,9726.242,-2427.925,83685.694,39625.000,96071.556,12385.862,64740.708,65911.277,1170.569,16345.810,19827.299,3481.489,6416.000,6932.473,-230.610,5420.000,7163.083,6656.924,609.380,-8975.000,9271.200,-1467.812,-7625.000,10739.012,-3446.411,6649.140,26416.000,33491.110,25596.661,5359.000,7894.449,3117.952,3889.578,56103.016,10527.000,11148.032,4118.340,5835.000,7029.692,13781.000,44954.984,30636.000,63245.321
2011Oct,44075.396,69140.713,72599.015,51427.000,64566.851,-8032.164,-3535.167,-1512.191,2022.976,76134.182,52745.000,66079.043,-10055.140,13608.554,12682.048,-926.506,59040.854,50650.111,-8390.743,7405.000,9095.419,639.832,7785.000,8455.587,7030.472,1082.144,10404.000,33079.224,-4200.108,16040.000,37279.332,-646.782,42382.829,1820.000,-3050.316,11180.994,-13196.000,-14231.310,-12603.565,-6065.874,25442.525,-1691.000,2180.272,-939.742,3105.000,3120.014,33489.000,23262.253,39011.000,31455.420
2011Sep,26266.662,-14291.813,1228.587,41410.000,3901.901,2673.314,18090.212,9618.567,-8471.646,-16861.625,22778.000,-5716.666,11144.960,-1723.335,5698.665,7421.999,-1385.423,461.297,1846.720,6019.000,4691.057,1382.228,1169.000,3308.828,3623.903,-303.478,2722.000,-12309.280,-5240.085,4575.000,-7069.195,-2766.860,-6163.371,34092.000,14497.749,3710.003,23108.000,10787.746,12114.661,3186.152,-2977.624,8961.000,6304.025,5350.455,1701.000,953.570,-10384.000,-9281.649,-7774.000,-13697.615
2011Aug,32329.492,-2721.288,33825.772,44830.000,19880.037,-13945.734,31692.924,27693.805,-3999.119,2132.848,26890.000,-7813.768,-9946.615,7180.080,7816.937,636.857,-7046.301,-12443.421,-5397.120,4478.000,1067.816,2567.064,1129.000,-1499.248,-234.668,-463.021,-8857.000,-21528.054,-2464.523,-5032.000,-19063.530,20.726,-13478.821,21598.000,25971.851,26187.719,1866.000,-215.868,6668.366,-8135.946,14368.425,9714.000,9579.874,5634.650,4246.000,3945.224,17896.000,4788.551,24680.000,9019.656
2011Jul,-40115.851,-30253.457,-19747.335,5744.000,-17758.106,1989.229,2934.011,1715.900,-1218.110,-22681.346,21658.000,-19474.006,3207.340,-29550.483,-28891.786,658.697,-3816.158,-763.245,3052.913,5601.000,8509.412,7209.843,1969.000,1299.569,2049.316,-932.829,-9163.000,-5032.166,-3805.198,-4554.000,-1226.969,3738.909,-12669.186,-4715.000,-4418.029,-4320.251,4987.000,-97.778,-5561.727,4810.714,-16817.322,-8904.000,-9760.572,-6669.779,-1454.000,-3090.793,22925.000,-7056.750,20710.000,-16358.035
2011Jun,30718.057,51473.340,21270.780,61006.000,20911.220,-359.560,-27471.517,-29629.521,-2158.005,48742.296,58889.000,50540.741,1798.445,55374.125,59677.437,4303.312,3136.817,1033.409,-2103.409,-1585.000,-7958.120,-5034.977,-2476.000,-2923.143,-968.031,-1540.267,17608.000,-2971.709,1543.314,10735.000,-4515.023,-2517.342,-13406.510,-3212.000,-27516.224,-36242.203,12845.000,8725.979,13466.582,6731.127,59357.273,13733.000,12382.673,6173.512,5293.000,6209.161,34463.000,46974.600,32491.000,43043.767
2011May,99231.547,72183.604,87462.384,44315.000,114904.183,27441.799,24790.685,38277.952,13487.267,62671.699,14669.000,76626.231,13954.532,100218.238,105926.850,5708.612,-49853.892,-46482.518,3371.374,8956.000,14011.594,9836.638,2366.000,4174.957,4368.270,-314.064,-16034.000,-7261.126,3056.862,-17713.000,-10317.988,23126.763,-49734.047,15205.000,36234.595,13564.966,3428.000,22669.629,15255.743,8843.034,71919.119,16515.000,15124.086,7995.199,7377.000,7128.887,19674.000,56795.033,19212.000,52970.746
2011Apr,18365.346,47124.000,43145.555,31735.000,46902.826,3757.271,-13449.055,-12253.452,1195.602,56594.609,46949.000,59156.278,2561.669,24702.030,29020.267,4318.237,16661.647,13403.279,-3258.368,-2355.000,2451.628,-2723.516,3472.000,5175.145,3776.024,-942.422,-11989.000,-193.863,3549.744,-14253.000,-3743.607,-1919.233,-15303.547,-1790.000,1228.338,-7359.921,4784.000,8588.259,8735.937,1708.135,43416.722,6829.000,5623.284,-593.687,5752.000,6216.971,41040.000,37793.438,47194.000,42919.511
2011Mar,-1532.870,10241.712,-8931.777,6999.000,-398.021,8533.756,-25732.552,-13659.123,12073.429,16800.775,22307.000,13261.103,-3539.673,68188.969,73816.345,5627.376,-46478.916,-54482.333,-8003.417,4029.000,5131.444,-1570.889,6079.000,6702.333,5948.724,1711.695,-38718.000,-44734.853,-3200.276,-31681.000,-41534.577,5659.550,-50597.263,16868.000,10932.841,5623.052,8925.000,5309.789,23149.311,-18416.563,28272.547,19125.000,22642.648,10971.488,10130.000,11671.160,5695.000,5629.899,28854.000,31112.398
2011Feb,101502.898,106244.871,93300.286,50889.000,99388.959,6088.674,-2658.318,6873.602,9531.919,95958.604,50442.000,92515.358,-3443.246,73294.430,74616.222,1321.792,7346.036,1933.738,-5412.298,1989.000,4127.882,1228.032,2784.000,2899.850,3091.248,-284.598,1695.000,-7634.849,-9261.148,9678.000,1626.299,-5508.323,211.701,40672.000,61014.791,22974.480,22637.000,38040.311,36453.667,-4722.632,41881.135,-3818.000,-1752.117,-6566.078,3231.000,4813.961,10350.000,43633.252,12112.000,45134.936
2011Jan,81889.012,66285.744,79043.942,48442.000,99161.196,20117.254,27142.572,28932.048,1789.476,51901.370,72208.000,70229.149,18327.779,35033.264,46168.742,11135.478,251.194,8971.766,8720.572,-287.000,4158.947,6446.772,-1324.000,-2287.825,-3280.463,382.087,-2880.000,-9544.337,912.198,-2735.000,-10456.535,-4884.404,-7855.784,29942.000,63847.921,24456.837,29924.000,39391.084,37025.211,-2423.296,40698.665,-4516.000,-7890.774,-6297.264,-173.000,-1593.510,26183.000,48589.439,46515.000,45175.933
2010Dec,-171155.982,-46839.367,-153896.345,-62583.000,-185671.923,-31775.578,-124863.868,-137579.722,-12715.854,-29032.478,12059.000,-48092.201,-19059.723,7255.721,1260.097,-5995.624,-38434.312,-50905.549,-12471.237,3598.000,-8228.273,-7229.659,2978.000,-998.615,-1204.733,-801.044,-29554.000,-24158.204,16318.641,-46728.000,-40476.845,3472.128,-52891.049,-10674.000,-46302.506,-38977.201,14163.000,-7325.305,-8247.399,9546.992,-106982.940,7287.000,8314.247,6280.348,3228.000,2033.899,-33239.000,-115297.187,38418.000,-1325.335
2010Nov,180312.242,144619.680,199224.399,178060.000,235200.805,35976.406,39702.052,47797.392,8095.340,159522.347,130582.000,187403.413,27881.066,85596.694,101412.627,15815.933,63665.443,69821.042,6155.599,2828.000,3083.524,520.026,1361.000,2563.498,3079.849,-173.445,49026.000,70442.000,1106.352,47961.000,69335.648,15429.189,38833.181,10974.000,16685.828,16887.596,-2175.000,-201.768,14387.569,-14017.708,144989.453,5291.000,6463.358,4838.647,200.000,1624.711,109941.000,138526.095,83236.000,114081.324
